time,x,y,z,Roll,Pitch,Yaw
0.016800000000000002,0.025200000000000004,0.0,50.0,0.0,0.0,0.0
0.017,0.025500000000000002,0.0,50.0,0.0,0.0,0.0
0.0172,0.0258,0.0,50.0,0.0,0.0,0.0
0.017400000000000002,0.026100000000000005,0.0,50.0,0.0,0.0,0.0
0.0176,0.0264,0.0,50.0,0.0,0.0,0.0
0.0178,0.0267,0.0,50.0,0.0,0.0,0.0
0.018000000000000002,0.027000000000000003,0.0,50.0,0.0,0.0,0.0
0.0182,0.0273,0.0,50.0,0.0,0.0,0.0
0.0184,0.0276,0.0,50.0,0.0,0.0,0.0
0.018600000000000002,0.0279,0.0,50.0,0.0,0.0,0.0
0.0188,0.028200000000000003,0.0,50.0,0.0,0.0,0.0
0.019,0.028499999999999998,0.0,50.0,0.0,0.0,0.0
0.019200000000000002,0.028800000000000003,0.0,50.0,0.0,0.0,0.0
0.0194,0.0291,0.0,50.0,0.0,0.0,0.0
0.0196,0.0294,0.0,50.0,0.0,0.0,0.0
0.0198,0.029700000000000004,0.0,50.0,0.0,0.0,0.0
0.02,0.03,0.0,50.0,0.0,0.0,0.0
0.020200000000000003,0.030300000000000004,0.0,50.0,0.0,0.0,0.0
0.0204,0.030600000000000002,0.0,50.0,0.0,0.0,0.0
0.0206,0.0309,0.0,50.0,0.0,0.0,0.0
0.020800000000000003,0.031200000000000006,0.0,50.0,0.0,0.0,0.0
0.021,0.0315,0.0,50.0,0.0,0.0,0.0
0.0212,0.0318,0.0,50.0,0.0,0.0,0.0
0.021400000000000002,0.032100000000000004,0.0,50.0,0.0,0.0,0.0
0.0216,0.0324,0.0,50.0,0.0,0.0,0.0
0.0218,0.0327,0.0,50.0,0.0,0.0,0.0
0.022000000000000002,0.033,0.0,50.0,0.0,0.0,0.0
0.0222,0.0333,0.0,50.0,0.0,0.0,0.0
0.0224,0.0336,0.0,50.0,0.0,0.0,0.0
0.022600000000000002,0.0339,0.0,50.0,0.0,0.0,0.0
0.0228,0.0342,0.0,50.0,0.0,0.0,0.0
0.023,0.0345,0.0,50.0,0.0,0.0,0.0
0.023200000000000002,0.034800000000000005,0.0,50.0,0.0,0.0,0.0
0.0234,0.0351,0.0,50.0,0.0,0.0,0.0
0.0236,0.0354,0.0,50.0,0.0,0.0,0.0
0.0238,0.0357,0.0,50.0,0.0,0.0,0.0
0.024,0.036000000000000004,0.0,50.0,0.0,0.0,0.0
0.024200000000000003,0.036300000000000006,0.0,50.0,0.0,0.0,0.0
0.0244,0.0366,0.0,50.0,0.0,0.0,0.0
0.0246,0.0369,0.0,50.0,0.0,0.0,0.0
0.024800000000000003,0.037200000000000004,0.0,50.0,0.0,0.0,0.0
0.025,0.037500000000000006,0.0,50.0,0.0,0.0,0.0
0.0252,0.0378,0.0,50.0,0.0,0.0,0.0
0.025400000000000002,0.0381,0.0,50.0,0.0,0.0,0.0
0.0256,0.038400000000000004,0.0,50.0,0.0,0.0,0.0
0.0258,0.0387,0.0,50.0,0.0,0.0,0.0
0.026000000000000002,0.03900000000000001,0.0,50.0,0.0,0.0,0.0
0.0262,0.0393,0.0,50.0,0.0,0.0,0.0
0.0264,0.039599999999999996,0.0,50.0,0.0,0.0,0.0
0.026600000000000002,0.039900000000000005,0.0,50.0,0.0,0.0,0.0
0.0268,0.0402,0.0,50.0,0.0,0.0,0.0
0.027,0.0405,0.0,50.0,0.0,0.0,0.0
0.027200000000000002,0.0408,0.0,50.0,0.0,0.0,0.0
0.0274,0.0411,0.0,50.0,0.0,0.0,0.0
0.027600000000000003,0.041400000000000006,0.0,50.0,0.0,0.0,0.0
0.027800000000000002,0.0417,0.0,50.0,0.0,0.0,0.0
0.028,0.042,0.0,50.0,0.0,0.0,0.0
0.028200000000000003,0.042300000000000004,0.0,50.0,0.0,0.0,0.0
0.0284,0.0426,0.0,50.0,0.0,0.0,0.0
0.0286,0.0429,0.0,50.0,0.0,0.0,0.0
0.028800000000000003,0.0432,0.0,50.0,0.0,0.0,0.0
0.029,0.043500000000000004,0.0,50.0,0.0,0.0,0.0
0.0292,0.0438,0.0,50.0,0.0,0.0,0.0
0.029400000000000003,0.0441,0.0,50.0,0.0,0.0,0.0
0.0296,0.0444,0.0,50.0,0.0,0.0,0.0
0.0298,0.044700000000000004,0.0,50.0,0.0,0.0,0.0
0.030000000000000002,0.045000000000000005,0.0,50.0,0.0,0.0,0.0
0.0302,0.0453,0.0,50.0,0.0,0.0,0.0
0.0304,0.0456,0.0,50.0,0.0,0.0,0.0
0.030600000000000002,0.0459,0.0,50.0,0.0,0.0,0.0
0.0308,0.046200000000000005,0.0,50.0,0.0,0.0,0.0
0.031,0.0465,0.0,50.0,0.0,0.0,0.0
0.031200000000000002,0.0468,0.0,50.0,0.0,0.0,0.0
0.031400000000000004,0.0471,0.0,50.0,0.0,0.0,0.0
0.0316,0.047400000000000005,0.0,50.0,0.0,0.0,0.0
0.0318,0.047700000000000006,0.0,50.0,0.0,0.0,0.0
0.032,0.048,0.0,50.0,0.0,0.0,0.0
0.0322,0.048299999999999996,0.0,50.0,0.0,0.0,0.0
0.0324,0.0486,0.0,50.0,0.0,0.0,0.0
0.032600000000000004,0.048900000000000006,0.0,50.0,0.0,0.0,0.0
0.0328,0.04920000000000001,0.0,50.0,0.0,0.0,0.0
0.033,0.0495,0.0,50.0,0.0,0.0,0.0
0.0332,0.0498,0.0,50.0,0.0,0.0,0.0
0.0334,0.0501,0.0,50.0,0.0,0.0,0.0
0.033600000000000005,0.05040000000000001,0.0,50.0,0.0,0.0,0.0
0.033800000000000004,0.05070000000000001,0.0,50.0,0.0,0.0,0.0
0.034,0.051000000000000004,0.0,50.0,0.0,0.0,0.0
0.0342,0.0513,0.0,50.0,0.0,0.0,0.0
0.0344,0.0516,0.0,50.0,0.0,0.0,0.0
0.0346,0.0519,0.0,50.0,0.0,0.0,0.0
0.034800000000000005,0.05220000000000001,0.0,50.0,0.0,0.0,0.0
0.035,0.052500000000000005,0.0,50.0,0.0,0.0,0.0
0.0352,0.0528,0.0,50.0,0.0,0.0,0.0
0.0354,0.0531,0.0,50.0,0.0,0.0,0.0
0.0356,0.0534,0.0,50.0,0.0,0.0,0.0
0.0358,0.0537,0.0,50.0,0.0,0.0,0.0
0.036000000000000004,0.054000000000000006,0.0,50.0,0.0,0.0,0.0
0.0362,0.0543,0.0,50.0,0.0,0.0,0.0
0.0364,0.0546,0.0,50.0,0.0,0.0,0.0
0.0366,0.054900000000000004,0.0,50.0,0.0,0.0,0.0
0.0368,0.0552,0.0,50.0,0.0,0.0,0.0
0.037000000000000005,0.05550000000000001,0.0,50.0,0.0,0.0,0.0
0.037200000000000004,0.0558,0.0,50.0,0.0,0.0,0.0
0.0374,0.056100000000000004,0.0,50.0,0.0,0.0,0.0
0.0376,0.056400000000000006,0.0,50.0,0.0,0.0,0.0
0.0378,0.0567,0.0,50.0,0.0,0.0,0.0
0.038,0.056999999999999995,0.0,50.0,0.0,0.0,0.0
0.038200000000000005,0.057300000000000004,0.0,50.0,0.0,0.0,0.0
0.038400000000000004,0.057600000000000005,0.0,50.0,0.0,0.0,0.0
0.0386,0.05790000000000001,0.0,50.0,0.0,0.0,0.0
0.0388,0.0582,0.0,50.0,0.0,0.0,0.0
